performance_id,hero_id,Total Pro wins,Times Picked,Times Banned,Win Rate,Niche Hero?,Total Pro wins normalized,Times Picked normalized,Times Banned normalized,Win Rate normalized
1,1,8,24,61,33.33,False,0.009925558312655087,0.02386934673366834,0.041707080504364696,0.012693039983075976
2,2,23,55,22,41.82,False,0.04714640198511166,0.06281407035175879,0.0038797284190106693,0.19229955574360066
3,3,40,77,73,51.95,False,0.08933002481389578,0.09045226130653267,0.0533462657613967,0.4066003807911996
4,4,40,66,78,60.61,False,0.08933002481389578,0.07663316582914573,0.058195926285160036,0.5898032578802623
5,5,5,14,31,35.71,False,0.0024813895781637717,0.011306532663316583,0.012609117361784675,0.06304209858261062
6,6,122,262,222,46.56,False,0.29280397022332505,0.3228643216080402,0.19786614936954414,0.2925745716099007
7,7,84,152,104,55.26,True,0.19851116625310175,0.18467336683417085,0.08341416100872939,0.4766236513645018
8,8,19,54,105,35.19,False,0.03722084367245657,0.06155778894472362,0.08438409311348205,0.0520414639306114
9,9,170,333,484,51.05,False,0.4119106699751861,0.4120603015075377,0.451988360814743,0.38756082081658555
10,10,70,157,461,44.59,False,0.16377171215880892,0.19095477386934673,0.4296799224054316,0.25089909033213464
11,11,33,65,36,50.77,True,0.07196029776674938,0.07537688442211055,0.01745877788554801,0.3816374021578169
12,12,125,267,964,46.82,False,0.3002481389578164,0.32914572864321606,0.9175557710960233,0.2980748889359002
13,13,55,120,119,45.83,False,0.12655086848635236,0.1444723618090452,0.0979631425800194,0.27713137296382484
14,14,9,21,127,42.86,False,0.01240694789081886,0.020100502512562814,0.10572259941804074,0.21430082504759895
15,15,95,172,90,55.23,True,0.22580645161290322,0.20979899497487436,0.06983511154219205,0.47598899936534794
16,16,47,85,42,55.29,True,0.10669975186104218,0.10050251256281408,0.023278370514064017,0.4772583033636556
17,17,22,36,173,61.11,False,0.04466501240694789,0.038944723618090454,0.15033947623666344,0.6003807911994923
18,18,46,83,90,55.42,False,0.10421836228287841,0.09798994974874371,0.06983511154219205,0.4800084620266555
19,19,72,139,192,51.8,False,0.1687344913151365,0.16834170854271358,0.1687681862269641,0.40342712079543047
20,20,160,296,30,54.05,True,0.3870967741935484,0.3655778894472362,0.011639185257032008,0.4510260207319653
21,21,86,164,273,52.44,False,0.20347394540942929,0.19974874371859297,0.24733268671193018,0.41696636344404486
22,22,239,476,346,50.21,False,0.5831265508684863,0.5917085427135679,0.3181377303588749,0.3697905648402793
23,23,236,468,963,50.43,False,0.575682382133995,0.5816582914572864,0.9165858389912707,0.37444467950074045
24,24,91,163,398,55.83,False,0.21588089330024815,0.1984924623115578,0.3685741998060136,0.48868203934842397
25,25,23,48,62,47.92,False,0.04714640198511166,0.05402010050251256,0.04267701260911736,0.32134546223820615
26,26,80,159,28,50.31,True,0.18858560794044665,0.1934673366834171,0.009699321047526674,0.3719060715041253
27,27,98,211,365,46.45,False,0.23325062034739455,0.25879396984924624,0.33656644034917554,0.2902475142796701
28,28,36,81,41,44.44,False,0.0794044665012407,0.09547738693467336,0.02230843840931135,0.24772583033636555
29,29,43,93,112,46.24,False,0.0967741935483871,0.11055276381909548,0.09117361784675072,0.2858049502855935
30,30,194,374,500,51.87,False,0.47146401985111663,0.4635678391959799,0.46750727449078566,0.4049079754601227
31,31,200,397,372,50.38,False,0.48635235732009924,0.49246231155778897,0.3433559650824442,0.3733869261688175
32,32,19,37,18,51.35,True,0.03722084367245657,0.04020100502512563,0.0,0.3939073408081236
33,33,87,204,227,42.65,False,0.20595533498759305,0.25,0.20271580989330748,0.20985826105352234
34,34,69,121,59,57.02,True,0.16129032258064516,0.1457286432160804,0.03976721629485936,0.5138565686481913
35,35,11,19,34,57.89,False,0.017369727047146403,0.017587939698492462,0.015518913676042677,0.5322614766236514
36,36,85,164,388,51.83,False,0.20099255583126552,0.19974874371859297,0.3588748787584869,0.40406177279458433
37,37,235,488,253,48.16,False,0.5732009925558312,0.6067839195979899,0.22793404461687683,0.3264226782314364
38,38,172,333,767,51.65,False,0.41687344913151364,0.4120603015075377,0.7264791464597479,0.4002538607996615
39,39,68,117,114,58.12,False,0.1588089330024814,0.1407035175879397,0.09311348205625607,0.5371271419504972
40,40,16,40,92,40.0,False,0.02977667493796526,0.04396984924623116,0.07177497575169738,0.1537973344616036
41,41,243,463,1049,52.48,False,0.5930521091811415,0.5753768844221105,1.0,0.4178125661095832
42,42,100,183,570,54.64,False,0.23821339950372208,0.2236180904522613,0.5354025218234724,0.4635075100486567
43,43,81,171,69,47.37,False,0.19106699751861042,0.20854271356783918,0.049466537342386034,0.3097101755870531
44,44,35,70,73,50.0,False,0.07692307692307693,0.08165829145728644,0.0533462657613967,0.3653480008462027
45,45,122,237,279,51.48,False,0.29280397022332505,0.2914572864321608,0.25315227934044615,0.39665749947112333
46,46,111,231,170,48.05,False,0.2655086848635236,0.28391959798994976,0.14742967992240544,0.3240956209012058
47,47,242,452,468,53.54,False,0.5905707196029777,0.5615577889447236,0.4364694471387003,0.4402369367463508
48,48,44,83,79,53.01,False,0.09925558312655088,0.09798994974874371,0.05916585838991271,0.429024751427967
49,49,88,206,84,42.72,False,0.20843672456575682,0.25251256281407036,0.06401551891367604,0.21133911571821454
50,50,45,101,200,44.55,False,0.10173697270471464,0.12060301507537688,0.17652764306498545,0.2500528876665961
51,51,106,222,234,47.75,False,0.2531017369727047,0.27261306532663315,0.20950533462657614,0.3177491009096679
52,52,122,255,68,47.84,False,0.29280397022332505,0.314070351758794,0.04849660523763336,0.31965305690712936
53,53,29,66,272,43.94,False,0.062034739454094295,0.07663316582914573,0.2463627546071775,0.2371482970171356
54,54,67,124,26,54.03,True,0.15632754342431762,0.14949748743718594,0.007759456838021339,0.45060291939919617
55,55,48,95,172,50.53,False,0.10918114143920596,0.11306532663316583,0.14936954413191075,0.3765601861645865
56,56,19,58,118,32.76,False,0.03722084367245657,0.06658291457286432,0.09699321047526673,0.0006346519991538214
57,57,93,188,171,49.47,False,0.22084367245657568,0.22989949748743718,0.1483996120271581,0.3541358155278189
58,58,83,172,92,48.26,False,0.19602977667493796,0.20979899497487436,0.07177497575169738,0.3285381848952824
59,59,28,60,209,46.67,False,0.05955334987593052,0.06909547738693467,0.18525703200775945,0.2949016289401312
60,60,4,5,49,80.0,False,0.0,0.0,0.030067895247332686,1.0
61,61,43,93,143,46.24,False,0.0967741935483871,0.11055276381909548,0.12124151309408342,0.2858049502855935
62,62,86,171,227,50.29,False,0.20347394540942929,0.20854271356783918,0.20271580989330748,0.37148297017135606
63,63,63,140,231,45.0,False,0.14640198511166252,0.16959798994974876,0.20659553831231814,0.25957266765390313
64,64,97,200,140,48.5,False,0.23076923076923078,0.2449748743718593,0.11833171677982542,0.3336154008885128
65,65,50,105,423,47.62,False,0.1141439205955335,0.12562814070351758,0.39282250242483024,0.3149989422466681
66,66,245,412,946,59.47,False,0.598014888337469,0.5113065326633166,0.9000969932104753,0.565686481912418
67,67,48,104,194,46.15,False,0.10918114143920596,0.12437185929648241,0.17070805043646944,0.28390099428813204
68,68,82,168,231,48.81,False,0.1935483870967742,0.20477386934673367,0.20659553831231814,0.34017347154643546
69,69,28,68,186,41.18,False,0.05955334987593052,0.07914572864321608,0.1629485935984481,0.1787603130949863
70,70,87,158,29,55.06,True,0.20595533498759305,0.1922110552763819,0.01066925315227934,0.4723926380368099
71,71,34,59,80,57.63,False,0.07444168734491315,0.0678391959798995,0.06013579049466537,0.5267611592976519
72,72,78,155,124,50.32,True,0.18362282878411912,0.1884422110552764,0.10281280310378274,0.37211762217050987
73,73,67,141,624,47.52,False,0.15632754342431762,0.1708542713567839,0.5877788554801164,0.3128834355828222
74,74,225,445,974,50.56,False,0.5483870967741935,0.5527638190954773,0.92725509214355,0.37719483816374033
75,75,272,542,835,50.18,False,0.6650124069478908,0.6746231155778895,0.7924345295829291,0.3691559128411255
76,76,28,53,125,52.83,False,0.05955334987593052,0.06030150753768844,0.1037827352085354,0.4252168394330442
77,77,84,215,285,39.07,False,0.19851116625310175,0.2638190954773869,0.25897187196896215,0.1341231224878359
78,78,185,365,831,50.68,False,0.4491315136476427,0.45226130653266333,0.7885548011639185,0.3797334461603554
79,79,88,179,295,49.16,False,0.20843672456575682,0.2185929648241206,0.26867119301648884,0.3475777448698963
80,80,101,192,80,52.6,True,0.24069478908188585,0.23492462311557788,0.06013579049466537,0.4203511741061985
81,81,72,134,274,53.73,False,0.1687344913151365,0.1620603015075377,0.24830261881668284,0.4442563994076581
82,82,145,240,414,60.42,False,0.34987593052109184,0.2952261306532663,0.38409311348205627,0.585783795218955
83,83,103,216,385,47.69,False,0.2456575682382134,0.2650753768844221,0.3559650824442289,0.31647979691136024
84,84,18,55,135,32.73,False,0.034739454094292806,0.06281407035175879,0.11348205625606207,0.0
85,85,233,539,448,43.23,False,0.5682382133995038,0.6708542713567839,0.41707080504364696,0.22212819970382905
86,86,37,70,70,52.86,False,0.08188585607940446,0.08165829145728644,0.0504364694471387,0.425851491432198
87,87,122,242,154,50.41,True,0.29280397022332505,0.29773869346733667,0.13191076624636275,0.3740215781679712
88,88,99,203,185,48.77,False,0.23573200992555832,0.24874371859296482,0.16197866149369544,0.3393272688808971
89,89,56,109,27,51.38,True,0.12903225806451613,0.1306532663316583,0.008729388942774006,0.3945419928072774
90,90,59,118,55,50.0,True,0.13647642679900746,0.14195979899497488,0.03588748787584869,0.3653480008462027
91,91,204,400,235,51.0,True,0.49627791563275436,0.4962311557788945,0.2104752667313288,0.3865030674846626
92,92,44,104,99,42.31,False,0.09925558312655088,0.12437185929648241,0.07856450048496605,0.20266553839644605
93,93,110,215,574,51.16,False,0.2630272952853598,0.2638190954773869,0.539282250242483,0.38988787814681614
94,94,84,152,94,55.26,True,0.19851116625310175,0.18467336683417085,0.07371483996120272,0.4766236513645018
95,95,44,84,67,52.38,True,0.09925558312655088,0.0992462311557789,0.0475266731328807,0.41569705944573737
96,96,34,73,76,46.58,False,0.07444168734491315,0.08542713567839195,0.05625606207565471,0.29299767294266976
97,97,97,211,107,45.97,False,0.23076923076923078,0.25879396984924624,0.0863239573229874,0.28009308229320923
98,98,106,209,219,50.72,False,0.2531017369727047,0.2562814070351759,0.19495635305528614,0.38057964882589385
99,99,305,591,772,51.61,False,0.7468982630272953,0.7361809045226131,0.7313288069835111,0.39940765813412316
100,100,33,73,117,45.21,False,0.07196029776674938,0.08542713567839195,0.09602327837051407,0.26401523164797974
101,101,183,352,496,51.99,False,0.4441687344913151,0.435929648241206,0.463627546071775,0.40744658345673795
102,102,97,203,194,47.78,False,0.23076923076923078,0.24874371859296482,0.17070805043646944,0.3183837529088217
103,103,161,286,201,56.29,True,0.38957816377171217,0.3530150753768844,0.17749757516973813,0.4984133700021155
104,104,39,85,221,45.88,False,0.08684863523573201,0.10050251256281408,0.19689621726479145,0.27818912629574793
105,105,9,26,169,34.62,False,0.01240694789081886,0.026381909547738693,0.14645974781765275,0.03998307594668924
106,106,55,113,62,48.67,False,0.12655086848635236,0.135678391959799,0.04267701260911736,0.33721176221705107
107,107,246,437,767,56.29,False,0.6004962779156328,0.542713567839196,0.7264791464597479,0.4984133700021155
108,108,98,193,320,50.78,False,0.23325062034739455,0.23618090452261306,0.2929194956353055,0.38184895282420145
109,109,106,206,199,51.46,False,0.2531017369727047,0.25251256281407036,0.1755577109602328,0.3962343981383542
110,110,36,68,78,52.94,False,0.0794044665012407,0.07914572864321608,0.058195926285160036,0.4275438967632748
111,111,84,177,169,47.46,False,0.19851116625310175,0.21608040201005024,0.14645974781765275,0.31161413158451456
112,112,85,173,226,49.13,False,0.20099255583126552,0.21105527638190955,0.2017458777885548,0.34694309287074265
113,113,407,801,764,50.81,False,1.0,1.0,0.7235693501454898,0.3824836048233553
114,114,49,115,340,42.61,False,0.11166253101736973,0.13819095477386933,0.3123181377303589,0.20901205838798395
115,115,41,79,260,51.9,False,0.09181141439205956,0.09296482412060302,0.2347235693501455,0.4055426274592765
116,116,29,50,246,58.0,False,0.062034739454094295,0.056532663316582916,0.22114451988360814,0.534588533953882
117,117,62,128,278,48.44,False,0.14392059553349876,0.15452261306532664,0.2521823472356935,0.3323460968902052
118,118,234,517,636,45.26,False,0.5707196029776674,0.6432160804020101,0.5994180407371484,0.26507298497990267
119,119,46,100,137,46.0,False,0.10421836228287841,0.11934673366834171,0.11542192046556742,0.2807277342923631
120,120,76,165,432,46.06,False,0.17866004962779156,0.20100502512562815,0.4015518913676043,0.2819970382906707
121,121,21,53,225,39.62,False,0.04218362282878412,0.06030150753768844,0.20077594568380214,0.1457584091389888
122,122,62,145,71,42.76,False,0.14392059553349876,0.17587939698492464,0.05140640155189137,0.21218531838375293
123,123,52,99,40,52.53,True,0.11910669975186104,0.11809045226130653,0.02133850630455868,0.4188703194415063
124,124,88,159,225,55.35,False,0.20843672456575682,0.1934673366834171,0.20077594568380214,0.47852760736196326
